x,lambda_t,cdf_empirical,bernstein_1,bernstein_2,bernstein_3,bernstein_4,bernstein_5,bernstein_6,bernstein_7,bernstein_8,bernstein_9,bernstein_10,bernstein_11,bernstein_12,bernstein_13,bernstein_14,bernstein_15,bernstein_16,bernstein_17,bernstein_18,bernstein_19,bernstein_20,bernstein_21,bernstein_22,bernstein_23,bernstein_24,bernstein_25,bernstein_26,bernstein_27,bernstein_28,bernstein_29,bernstein_30,bernstein_31,bernstein_32,bernstein_33,bernstein_34,bernstein_35,bernstein_36,bernstein_37,bernstein_38,bernstein_39,bernstein_40,bernstein_41,bernstein_42,bernstein_43,bernstein_44,bernstein_45,bernstein_46,bernstein_47,bernstein_48,bernstein_49,bernstein_50
0.0131,1.0648,0.1616,0.1616,0.3131,0.2626,0.3333,0.2020,0.2424,0.2020,0.2222,0.1313,0.3030,0.2020,0.2222,0.3232,0.2525,0.1818,0.2424,0.2626,0.2626,0.1414,0.2525,0.0707,0.2828,0.2727,0.3030,0.3333,0.2424,0.1717,0.2020,0.2525,0.3333,0.1515,0.2020,0.3434,0.1919,0.3535,0.1515,0.3030,0.2020,0.2424,0.2525,0.3939,0.2121,0.2929,0.1616,0.2424,0.3030,0.2525,0.2222,0.2222,0.2727
0.1756,1.0648,0.2424,0.2031,0.3131,0.2626,0.3333,0.2815,0.2424,0.2973,0.2269,0.2039,0.3030,0.2021,0.2547,0.3234,0.2683,0.1848,0.2785,0.2767,0.2626,0.1414,0.2526,0.0781,0.2828,0.2727,0.3030,0.3333,0.2580,0.1732,0.2116,0.2699,0.3333,0.1637,0.2025,0.3434,0.2174,0.3535,0.2085,0.3030,0.2194,0.2424,0.2525,0.3939,0.2121,0.2929,0.1715,0.2424,0.3030,0.2525,0.2222,0.2222,0.2727
0.3382,1.0648,0.3636,0.3009,0.3249,0.3925,0.4548,0.4322,0.3676,0.4292,0.3941,0.3205,0.5072,0.3837,0.4274,0.5151,0.4665,0.2338,0.4654,0.4196,0.4109,0.3331,0.3434,0.3437,0.2839,0.3936,0.3765,0.3801,0.3624,0.3536,0.3645,0.4137,0.3393,0.2838,0.3535,0.4028,0.3914,0.4086,0.3088,0.4056,0.3590,0.4472,0.4538,0.3939,0.3433,0.4367,0.2394,0.4003,0.4579,0.3761,0.3705,0.3206,0.2991
0.5007,1.0648,0.4444,0.4040,0.4747,0.4077,0.5657,0.5504,0.4647,0.5368,0.5313,0.4502,0.5268,0.4698,0.5989,0.6356,0.6157,0.3536,0.6193,0.5868,0.4230,0.3989,0.3814,0.4915,0.6213,0.4253,0.5051,0.5151,0.5370,0.4315,0.4841,0.5701,0.4847,0.3338,0.4508,0.5253,0.5106,0.5051,0.4246,0.4344,0.5260,0.4582,0.5012,0.4289,0.4035,0.4850,0.3176,0.4748,0.4758,0.4345,0.3799,0.3538,0.3535
0.6632,1.0648,0.5556,0.4993,0.4810,0.5231,0.6336,0.6410,0.5397,0.6227,0.5805,0.5784,0.6229,0.5273,0.6775,0.6905,0.6617,0.4552,0.6925,0.6545,0.5744,0.4689,0.4200,0.5492,0.6263,0.4761,0.5333,0.5350,0.6242,0.5022,0.5592,0.6874,0.4861,0.4097,0.4959,0.5638,0.6238,0.5590,0.4989,0.5270,0.6031,0.5736,0.5571,0.5957,0.4877,0.6170,0.3980,0.5862,0.6435,0.5544,0.4839,0.3997,0.3852
0.8257,1.0648,0.6364,0.5968,0.6275,0.5652,0.7272,0.7077,0.6061,0.6904,0.6156,0.6286,0.6452,0.5970,0.7596,0.7675,0.7417,0.5109,0.7368,0.6903,0.6161,0.5516,0.5575,0.5918,0.6615,0.5467,0.6158,0.6648,0.6528,0.5563,0.6092,0.7546,0.5881,0.4975,0.5972,0.6763,0.6941,0.7165,0.5648,0.5569,0.6551,0.5945,0.5940,0.5960,0.6131,0.6501,0.4943,0.6271,0.6643,0.5880,0.5400,0.4183,0.5340
0.9882,1.0648,0.6869,0.6624,0.6372,0.6464,0.7712,0.7734,0.6317,0.7428,0.6511,0.6878,0.7159,0.6600,0.7910,0.8058,0.8023,0.5753,0.7870,0.7347,0.6773,0.6069,0.6084,0.6404,0.7068,0.5686,0.6392,0.6761,0.6639,0.6185,0.6605,0.8239,0.6066,0.5613,0.6779,0.6883,0.7557,0.7374,0.6251,0.6317,0.7139,0.6460,0.6401,0.6158,0.6408,0.7416,0.6002,0.6719,0.7418,0.6532,0.6376,0.5203,0.5458
1.1507,1.0812,0.7677,0.7294,0.6588,0.6786,0.8376,0.8324,0.6569,0.7881,0.7158,0.7418,0.7512,0.7412,0.8227,0.8381,0.8382,0.6446,0.8314,0.7710,0.7108,0.6637,0.6596,0.6827,0.7125,0.6003,0.7137,0.7567,0.7057,0.7018,0.7196,0.8728,0.6547,0.6256,0.7302,0.7257,0.7732,0.8139,0.6939,0.6596,0.7636,0.6728,0.6899,0.7189,0.6704,0.7652,0.6551,0.6899,0.7567,0.6756,0.7111,0.5548,0.6100
1.3132,1.0812,0.8283,0.7974,0.6679,0.7066,0.8648,0.8730,0.6816,0.8343,0.7453,0.7809,0.7892,0.7928,0.8658,0.8788,0.8895,0.6859,0.8686,0.8044,0.7374,0.7104,0.6914,0.7143,0.7568,0.6698,0.7312,0.7725,0.7579,0.7452,0.7692,0.9052,0.7061,0.6999,0.7941,0.7504,0.8241,0.8285,0.7708,0.6951,0.7924,0.7014,0.7594,0.7273,0.7208,0.8104,0.7052,0.7254,0.7861,0.7283,0.7545,0.6062,0.6223
1.4757,1.0812,0.8485,0.8389,0.6967,0.7627,0.9065,0.8890,0.7078,0.8652,0.7803,0.8142,0.8149,0.8288,0.9041,0.8956,0.9364,0.7487,0.9150,0.8467,0.7865,0.7392,0.7427,0.7560,0.7695,0.7065,0.7798,0.8175,0.7841,0.7877,0.8099,0.9233,0.7248,0.7621,0.8455,0.8186,0.8717,0.8703,0.8143,0.7162,0.8177,0.7470,0.7973,0.7368,0.7471,0.8257,0.7496,0.7483,0.8175,0.7500,0.7969,0.6498,0.6569
1.6382,1.0812,0.8990,0.8738,0.7270,0.7939,0.9202,0.9016,0.7325,0.8905,0.8260,0.8351,0.8362,0.8570,0.9234,0.9175,0.9556,0.7937,0.9489,0.8885,0.8044,0.7692,0.7996,0.7985,0.8050,0.7287,0.8004,0.8403,0.8065,0.8229,0.8406,0.9292,0.7691,0.7945,0.8688,0.8408,0.9077,0.8840,0.8448,0.7609,0.8617,0.7797,0.8246,0.7753,0.7711,0.8452,0.7863,0.7938,0.8642,0.7840,0.8243,0.6909,0.6750
1.8007,1.0812,0.9091,0.9032,0.7552,0.8248,0.9376,0.9345,0.7589,0.9087,0.8466,0.8699,0.8616,0.8913,0.9411,0.9414,0.9638,0.8244,0.9662,0.9196,0.8198,0.8083,0.8291,0.8191,0.8522,0.7551,0.8370,0.8602,0.8178,0.8428,0.8695,0.9354,0.7814,0.8247,0.8831,0.8769,0.9201,0.9021,0.8728,0.7816,0.8931,0.8171,0.8464,0.7880,0.8064,0.8554,0.8223,0.8187,0.8786,0.8196,0.8567,0.7222,0.7149
1.9632,1.0812,0.9293,0.9200,0.7985,0.8442,0.9505,0.9678,0.7864,0.9286,0.8658,0.8935,0.8797,0.9128,0.9567,0.9558,0.9688,0.8459,0.9705,0.9318,0.8455,0.8349,0.8553,0.8465,0.8681,0.7925,0.8614,0.8782,0.8315,0.8653,0.9030,0.9465,0.7970,0.8485,0.8970,0.8930,0.9282,0.9134,0.9023,0.7944,0.9232,0.8390,0.8663,0.7989,0.8300,0.8675,0.8541,0.8477,0.8888,0.8630,0.8851,0.7501,0.7383
2.1257,1.0812,0.9394,0.9344,0.8199,0.8586,0.9651,0.9846,0.8167,0.9540,0.8777,0.9068,0.8976,0.9284,0.9675,0.9650,0.9697,0.8711,0.9769,0.9452,0.8756,0.8589,0.8825,0.8766,0.8935,0.8378,0.8974,0.8883,0.8617,0.8859,0.9237,0.9536,0.8109,0.8709,0.9093,0.9039,0.9433,0.9289,0.9326,0.8106,0.9472,0.8551,0.8811,0.8327,0.8420,0.8785,0.8774,0.8670,0.8954,0.8877,0.9071,0.7782,0.7498
2.2882,1.0812,0.9495,0.9475,0.8410,0.8675,0.9695,0.9938,0.8381,0.9745,0.8854,0.9185,0.9136,0.9411,0.9749,0.9722,0.9699,0.8998,0.9861,0.9583,0.9039,0.8848,0.9066,0.9016,0.9122,0.8662,0.9207,0.8981,0.8981,0.8991,0.9341,0.9630,0.8301,0.8973,0.9176,0.9107,0.9592,0.9446,0.9522,0.8371,0.9619,0.8646,0.8920,0.8556,0.8617,0.8931,0.8975,0.8841,0.9047,0.9094,0.9157,0.7961,0.7655
2.4507,1.0812,0.9798,0.9652,0.8602,0.8800,0.9715,0.9986,0.8566,0.9862,0.9033,0.9334,0.9256,0.9498,0.9788,0.9794,0.9714,0.9181,0.9898,0.9670,0.9260,0.9089,0.9227,0.9216,0.9312,0.8889,0.9321,0.9064,0.9279,0.9106,0.9397,0.9689,0.8553,0.9215,0.9215,0.9159,0.9682,0.9628,0.9597,0.8622,0.9737,0.8778,0.9059,0.8645,0.8822,0.9143,0.9225,0.8997,0.9187,0.9268,0.9220,0.8096,0.7935
2.6132,1.0812,0.9899,0.9823,0.8820,0.8957,0.9774,0.9999,0.8693,0.9923,0.9299,0.9496,0.9319,0.9560,0.9797,0.9866,0.9760,0.9304,0.9918,0.9758,0.9419,0.9276,0.9348,0.9398,0.9516,0.9110,0.9398,0.9155,0.9479,0.9246,0.9460,0.9719,0.8822,0.9372,0.9280,0.9210,0.9738,0.9791,0.9646,0.8853,0.9842,0.8999,0.9163,0.8762,0.9005,0.9341,0.9454,0.9149,0.9305,0.9409,0.9293,0.8247,0.8223
2.7757,1.0812,1.0000,0.9929,0.8995,0.9093,0.9858,1.0000,0.8810,0.9966,0.9524,0.9633,0.9419,0.9605,0.9798,0.9931,0.9828,0.9395,0.9952,0.9821,0.9527,0.9383,0.9484,0.9522,0.9652,0.9282,0.9458,0.9223,0.9601,0.9344,0.9557,0.9768,0.9138,0.9481,0.9381,0.9264,0.9832,0.9898,0.9715,0.9007,0.9910,0.9210,0.9213,0.8864,0.9199,0.9446,0.9632,0.9273,0.9398,0.9511,0.9389,0.8416,0.8409
2.9383,1.0812,1.0000,0.9979,0.9114,0.9198,0.9926,1.0000,0.8932,0.9991,0.9650,0.9733,0.9570,0.9643,0.9799,0.9975,0.9898,0.9472,0.9983,0.9870,0.9599,0.9445,0.9598,0.9586,0.9764,0.9394,0.9529,0.9281,0.9696,0.9402,0.9653,0.9830,0.9370,0.9584,0.9485,0.9333,0.9931,0.9965,0.9812,0.9115,0.9954,0.9346,0.9259,0.8939,0.9367,0.9512,0.9774,0.9367,0.9510,0.9570,0.9498,0.8600,0.8543
3.1008,1.0767,1.0000,0.9996,0.9223,0.9294,0.9968,1.0000,0.9047,0.9998,0.9715,0.9813,0.9703,0.9677,0.9805,0.9994,0.9953,0.9551,0.9996,0.9915,0.9661,0.9487,0.9666,0.9630,0.9849,0.9474,0.9611,0.9349,0.9785,0.9456,0.9727,0.9878,0.9497,0.9679,0.9569,0.9420,0.9983,0.9992,0.9910,0.9232,0.9983,0.9434,0.9325,0.9029,0.9488,0.9571,0.9885,0.9438,0.9627,0.9592,0.9595,0.8805,0.8650
