x,lambda_t,cdf_empirical,bernstein_1,bernstein_2,bernstein_3,bernstein_4,bernstein_5,bernstein_6,bernstein_7,bernstein_8,bernstein_9,bernstein_10,bernstein_11,bernstein_12,bernstein_13,bernstein_14,bernstein_15,bernstein_16,bernstein_17,bernstein_18,bernstein_19,bernstein_20,bernstein_21,bernstein_22,bernstein_23,bernstein_24,bernstein_25,bernstein_26,bernstein_27,bernstein_28,bernstein_29,bernstein_30,bernstein_31,bernstein_32,bernstein_33,bernstein_34,bernstein_35,bernstein_36,bernstein_37,bernstein_38,bernstein_39,bernstein_40,bernstein_41,bernstein_42,bernstein_43,bernstein_44,bernstein_45,bernstein_46,bernstein_47,bernstein_48,bernstein_49,bernstein_50
0.1546,1.3307,0.2222,0.2342,0.3344,0.3333,0.2861,0.2879,0.4487,0.2225,0.2945,0.1987,0.1393,0.2781,0.4445,0.2222,0.8325,0.3875,0.5669,0.8045,0.3357,0.8045,0.2222,0.3784,0.3374,0.2220,0.3613,0.5709,0.3902,0.3746,0.3720,0.6221,0.3420,0.4418,0.2952,0.3574,0.2263,0.3021,0.2996,0.4165,0.5594,0.2452,0.2227,0.9103,0.6663,0.1429,0.1121,0.2347,0.1770,0.4162,0.1547,0.3875,0.5691
0.3239,1.3307,0.3333,0.3088,0.3659,0.3347,0.5076,0.3951,0.5090,0.2342,0.5294,0.4139,0.2081,0.3950,0.4483,0.2224,0.4916,0.4366,0.1976,0.4002,0.1857,0.3996,0.2226,0.6933,0.3901,0.2931,0.4201,0.2432,0.4964,0.3400,0.5954,0.3185,0.4459,0.5468,0.5373,0.4863,0.2753,0.3561,0.3531,0.2793,0.6058,0.3525,0.2435,0.5372,0.5871,0.2412,0.1346,0.3115,0.2883,0.2634,0.3233,0.4361,0.2511
0.4932,1.3307,0.5556,0.4153,0.4645,0.3480,0.6418,0.4843,0.6310,0.2818,0.7160,0.5363,0.2624,0.4376,0.4833,0.2260,0.4286,0.4689,0.1848,0.2873,0.2565,0.2923,0.2293,0.8642,0.4891,0.3789,0.4477,0.2572,0.5732,0.3700,0.7193,0.3225,0.6073,0.6047,0.7137,0.5976,0.3592,0.4501,0.4979,0.3732,0.6922,0.4253,0.3121,0.3849,0.6452,0.3230,0.1837,0.3995,0.3701,0.2928,0.4996,0.4615,0.3400
0.6626,1.3307,0.5556,0.5140,0.5958,0.3850,0.7522,0.5917,0.7473,0.3572,0.8332,0.6232,0.3036,0.4562,0.5675,0.2460,0.5217,0.5431,0.3116,0.3287,0.3454,0.3508,0.2554,0.9393,0.5826,0.4899,0.4822,0.3329,0.6434,0.4393,0.8072,0.3843,0.7360,0.6678,0.8048,0.6548,0.4443,0.5619,0.6599,0.5046,0.7798,0.4636,0.3898,0.4012,0.7149,0.4025,0.2389,0.4668,0.4369,0.3394,0.6459,0.5157,0.5262
0.8319,1.3307,0.6667,0.5891,0.7138,0.4407,0.8471,0.7004,0.8231,0.4419,0.9076,0.7168,0.3354,0.4857,0.6701,0.2954,0.6520,0.6564,0.4862,0.4245,0.4223,0.4543,0.3034,0.9747,0.6525,0.6190,0.5454,0.4160,0.7211,0.5251,0.8680,0.4436,0.8166,0.7341,0.8723,0.6968,0.5325,0.6862,0.7928,0.6168,0.8404,0.5009,0.4529,0.4383,0.7557,0.4970,0.2978,0.5174,0.4976,0.3949,0.7524,0.6045,0.6968
1.0012,1.3489,0.6667,0.6468,0.8053,0.5040,0.9171,0.7835,0.8622,0.5258,0.9531,0.8086,0.3743,0.5324,0.7583,0.3723,0.7702,0.7726,0.6494,0.5381,0.4854,0.5531,0.3615,0.9905,0.7102,0.7385,0.6296,0.5003,0.7987,0.6038,0.9094,0.5045,0.8602,0.7938,0.9266,0.7485,0.6259,0.7931,0.8839,0.7062,0.8723,0.5443,0.5108,0.4756,0.7745,0.5947,0.3575,0.5599,0.5543,0.4624,0.8265,0.7044,0.8209
1.1705,1.3489,0.6667,0.6961,0.8731,0.5680,0.9593,0.8355,0.8796,0.6019,0.9776,0.8820,0.4336,0.5890,0.8240,0.4634,0.8600,0.8641,0.7750,0.6479,0.5391,0.6360,0.4190,0.9959,0.7662,0.8333,0.7173,0.5785,0.8659,0.6666,0.9391,0.5731,0.8823,0.8399,0.9624,0.8091,0.7162,0.8687,0.9392,0.7798,0.8880,0.5923,0.5692,0.5242,0.7866,0.6812,0.4138,0.6023,0.6072,0.5350,0.8796,0.7920,0.8993
1.3398,1.3489,0.7778,0.7404,0.9204,0.6293,0.9792,0.8638,0.8867,0.6650,0.9877,0.9306,0.5129,0.6454,0.8715,0.5544,0.9192,0.9235,0.8601,0.7398,0.5882,0.7042,0.4731,0.9954,0.8199,0.8989,0.7943,0.6456,0.9157,0.7153,0.9591,0.6452,0.8948,0.8717,0.9801,0.8664,0.7936,0.9161,0.9680,0.8392,0.8978,0.6423,0.6245,0.5852,0.8005,0.7505,0.4675,0.6474,0.6562,0.6049,0.9170,0.8569,0.9432
1.5092,1.3489,0.7778,0.7786,0.9490,0.6849,0.9834,0.8766,0.8892,0.7124,0.9879,0.9558,0.6003,0.6939,0.9047,0.6349,0.9519,0.9550,0.9107,0.8077,0.6347,0.7580,0.5238,0.9899,0.8654,0.9367,0.8533,0.6996,0.9457,0.7534,0.9687,0.7122,0.9031,0.8919,0.9836,0.9098,0.8521,0.9424,0.9785,0.8827,0.9063,0.6904,0.6704,0.6502,0.8184,0.8022,0.5210,0.6927,0.7008,0.6677,0.9399,0.8992,0.9629
1.6785,1.3489,0.8889,0.8076,0.9607,0.7316,0.9760,0.8791,0.8889,0.7447,0.9799,0.9615,0.6809,0.7303,0.9253,0.6990,0.9639,0.9657,0.9339,0.8514,0.6767,0.7965,0.5701,0.9784,0.8973,0.9510,0.8921,0.7400,0.9571,0.7825,0.9670,0.7664,0.9079,0.9030,0.9760,0.9350,0.8894,0.9521,0.9757,0.9090,0.9135,0.7320,0.7037,0.7082,0.8381,0.8370,0.5737,0.7330,0.7392,0.7202,0.9482,0.9224,0.9650
