x,lambda_t,cdf_empirical,bernstein_1,bernstein_2,bernstein_3,bernstein_4,bernstein_5,bernstein_6,bernstein_7,bernstein_8,bernstein_9,bernstein_10,bernstein_11,bernstein_12,bernstein_13,bernstein_14,bernstein_15,bernstein_16,bernstein_17,bernstein_18,bernstein_19,bernstein_20,bernstein_21,bernstein_22,bernstein_23,bernstein_24,bernstein_25,bernstein_26,bernstein_27,bernstein_28,bernstein_29,bernstein_30,bernstein_31,bernstein_32,bernstein_33,bernstein_34,bernstein_35,bernstein_36,bernstein_37,bernstein_38,bernstein_39,bernstein_40,bernstein_41,bernstein_42,bernstein_43,bernstein_44,bernstein_45,bernstein_46,bernstein_47,bernstein_48,bernstein_49,bernstein_50
1.3607,1.0316,0.8947,0.8369,0.8359,0.8649,0.8543,0.5150,0.6585,0.6971,0.5496,0.5879,0.4728,0.8358,0.8867,0.7228,0.8044,0.5842,0.7181,0.7005,0.8025,0.8170,0.6633,0.9751,0.7945,0.5443,0.7299,0.9958,0.8126,0.5089,0.7892,0.9009,0.9892,0.5790,0.6876,0.8782,0.7537,0.9332,0.9334,0.8294,0.7459,0.7073,0.8253,0.9974,0.8723,0.8004,0.7497,0.8961,0.8936,0.7821,0.8760,0.8553,0.5967
1.4932,1.0316,0.8947,0.8673,0.8520,0.9103,0.8891,0.5624,0.7134,0.7221,0.6116,0.6290,0.4925,0.8443,0.9113,0.7505,0.8229,0.6065,0.7525,0.7355,0.8323,0.8323,0.7225,0.9855,0.8472,0.5986,0.7479,0.9986,0.8522,0.5514,0.8196,0.9320,0.9963,0.6244,0.7083,0.9096,0.7862,0.9468,0.9559,0.8542,0.7867,0.7381,0.8598,0.9993,0.8920,0.8318,0.7967,0.9315,0.8968,0.8025,0.9120,0.8805,0.6557
1.6258,1.0316,0.8947,0.8903,0.8673,0.9451,0.9183,0.6137,0.7570,0.7404,0.6722,0.6740,0.5138,0.8530,0.9296,0.7765,0.8418,0.6252,0.7818,0.7664,0.8534,0.8431,0.7701,0.9925,0.8901,0.6526,0.7659,0.9996,0.8854,0.6021,0.8498,0.9561,0.9988,0.6654,0.7233,0.9368,0.8112,0.9564,0.9732,0.8763,0.8258,0.7600,0.8865,0.9998,0.9107,0.8578,0.8343,0.9567,0.9005,0.8249,0.9318,0.8962,0.7059
1.7584,1.0316,0.8947,0.9091,0.8845,0.9690,0.9424,0.6663,0.7901,0.7555,0.7287,0.7177,0.5378,0.8641,0.9426,0.8029,0.8598,0.6413,0.8062,0.7934,0.8697,0.8531,0.8053,0.9964,0.9221,0.6986,0.7854,0.9997,0.9116,0.6592,0.8765,0.9734,0.9994,0.7029,0.7335,0.9582,0.8312,0.9649,0.9849,0.8960,0.8628,0.7775,0.9077,0.9998,0.9285,0.8800,0.8642,0.9739,0.9056,0.8484,0.9411,0.9084,0.7449
1.8909,1.0316,0.8947,0.9259,0.9032,0.9835,0.9613,0.7150,0.8153,0.7700,0.7788,0.7569,0.5641,0.8777,0.9520,0.8295,0.8759,0.6564,0.8263,0.8183,0.8839,0.8648,0.8304,0.9979,0.9451,0.7335,0.8061,0.9994,0.9317,0.7183,0.8987,0.9845,0.9992,0.7370,0.7414,0.9736,0.8477,0.9729,0.9918,0.9137,0.8963,0.7932,0.9253,0.9994,0.9447,0.8993,0.8889,0.9848,0.9119,0.8717,0.9449,0.9205,0.7734
2.0235,1.0316,1.0000,0.9409,0.9216,0.9909,0.9748,0.7553,0.8349,0.7852,0.8212,0.7904,0.5920,0.8927,0.9593,0.8552,0.8895,0.6714,0.8425,0.8420,0.8969,0.8789,0.8489,0.9976,0.9609,0.7578,0.8266,0.9986,0.9470,0.7745,0.9166,0.9905,0.9981,0.7677,0.7493,0.9834,0.8615,0.9797,0.9948,0.9295,0.9245,0.8086,0.9401,0.9985,0.9583,0.9165,0.9097,0.9907,0.9187,0.8931,0.9458,0.9329,0.7945
2.1561,1.0316,1.0000,0.9532,0.9378,0.9931,0.9830,0.7853,0.8506,0.8009,0.8556,0.8181,0.6202,0.9072,0.9648,0.8785,0.9007,0.6859,0.8553,0.8643,0.9087,0.8941,0.8637,0.9956,0.9710,0.7739,0.8455,0.9967,0.9580,0.8235,0.9307,0.9922,0.9958,0.7947,0.7584,0.9883,0.8725,0.9844,0.9947,0.9429,0.9459,0.8237,0.9516,0.9965,0.9683,0.9313,0.9271,0.9924,0.9248,0.9115,0.9452,0.9444,0.8114
2.2886,1.0316,1.0000,0.9613,0.9500,0.9915,0.9861,0.8051,0.8632,0.8162,0.8820,0.8399,0.6470,0.9192,0.9681,0.8977,0.9094,0.6991,0.8648,0.8836,0.9186,0.9084,0.8760,0.9914,0.9763,0.7841,0.8617,0.9933,0.9651,0.8626,0.9409,0.9901,0.9914,0.8174,0.7687,0.9889,0.8804,0.9862,0.9917,0.9527,0.9599,0.8379,0.9591,0.9929,0.9740,0.9430,0.9406,0.9906,0.9290,0.9257,0.9430,0.9533,0.8257
2.4212,1.0316,1.0000,0.9639,0.9570,0.9863,0.9845,0.8160,0.8728,0.8298,0.9005,0.8559,0.6707,0.9273,0.9682,0.9116,0.9152,0.7098,0.8709,0.8984,0.9253,0.9196,0.8856,0.9842,0.9767,0.7901,0.8743,0.9877,0.9679,0.8904,0.9465,0.9843,0.9842,0.8353,0.7793,0.9854,0.8850,0.9846,0.9857,0.9579,0.9662,0.8502,0.9616,0.9868,0.9747,0.9507,0.9494,0.9851,0.9305,0.9350,0.9388,0.9581,0.8374
2.5538,1.0316,1.0000,0.9601,0.9581,0.9774,0.9786,0.8197,0.8785,0.8400,0.9112,0.8657,0.6895,0.9305,0.9641,0.9191,0.9173,0.7171,0.8734,0.9070,0.9277,0.9255,0.8914,0.9731,0.9722,0.7925,0.8824,0.9791,0.9661,0.9065,0.9470,0.9743,0.9731,0.8474,0.7890,0.9780,0.8856,0.9794,0.9760,0.9576,0.9653,0.8590,0.9584,0.9776,0.9701,0.9534,0.9527,0.9758,0.9285,0.9385,0.9320,0.9576,0.8457
