x,lambda_t,cdf_empirical,bernstein_1,bernstein_2,bernstein_3,bernstein_4,bernstein_5,bernstein_6,bernstein_7,bernstein_8,bernstein_9,bernstein_10,bernstein_11,bernstein_12,bernstein_13,bernstein_14,bernstein_15,bernstein_16,bernstein_17,bernstein_18,bernstein_19,bernstein_20,bernstein_21,bernstein_22,bernstein_23,bernstein_24,bernstein_25,bernstein_26,bernstein_27,bernstein_28,bernstein_29,bernstein_30,bernstein_31,bernstein_32,bernstein_33,bernstein_34,bernstein_35,bernstein_36,bernstein_37,bernstein_38,bernstein_39,bernstein_40,bernstein_41,bernstein_42,bernstein_43,bernstein_44,bernstein_45,bernstein_46,bernstein_47,bernstein_48,bernstein_49,bernstein_50
0.0350,1.0344,0.0526,0.0528,0.2632,0.2107,0.3159,0.2632,0.9425,0.0526,0.1579,0.1579,0.1579,0.2632,0.2106,0.1579,0.2105,0.1579,0.2632,0.1579,0.1579,0.1579,0.1053,0.0561,0.2632,0.2632,0.2632,0.2640,0.3158,0.0526,0.2105,0.1053,0.0536,0.0526,0.3158,0.2632,0.2632,0.3684,0.1579,0.2105,0.2105,0.2105,0.1053,0.3794,0.2105,0.3158,0.3158,0.1606,0.3158,0.2106,0.2105,0.2105,0.1053
0.1676,1.0344,0.2632,0.1673,0.3221,0.2538,0.3714,0.2634,0.1735,0.0576,0.1614,0.1780,0.1583,0.2642,0.2384,0.1943,0.2138,0.1595,0.2996,0.2185,0.1722,0.1615,0.1190,0.1456,0.2927,0.2632,0.3117,0.4268,0.3356,0.1018,0.2472,0.1254,0.1808,0.0774,0.3158,0.3034,0.2681,0.4277,0.2190,0.2688,0.2590,0.2106,0.1333,0.2308,0.2726,0.3364,0.3191,0.3270,0.3433,0.2886,0.2312,0.2138,0.1259
0.3002,1.0344,0.3684,0.3104,0.4191,0.3036,0.4181,0.2754,0.1370,0.1327,0.1925,0.2437,0.1883,0.3136,0.2709,0.2953,0.2677,0.1840,0.4005,0.3818,0.2614,0.1952,0.1877,0.2805,0.3521,0.2647,0.4535,0.6545,0.3899,0.2480,0.3666,0.1977,0.3820,0.1668,0.3214,0.3849,0.3388,0.5515,0.4176,0.3858,0.3880,0.2199,0.1746,0.4394,0.4664,0.4326,0.3664,0.4817,0.4806,0.4404,0.3295,0.2700,0.2242
0.4327,1.0344,0.4211,0.4021,0.5018,0.3391,0.4380,0.3015,0.2404,0.2420,0.2276,0.3437,0.2869,0.4445,0.3372,0.3459,0.3690,0.2321,0.4482,0.4482,0.3573,0.2512,0.2479,0.4631,0.4461,0.2897,0.5484,0.8191,0.4721,0.3045,0.4756,0.3461,0.5189,0.2470,0.3833,0.4273,0.4156,0.6396,0.5851,0.5076,0.4245,0.2780,0.2696,0.6675,0.6503,0.4757,0.4209,0.5649,0.5994,0.5455,0.3866,0.3849,0.2783
0.5653,1.0344,0.5263,0.4869,0.5636,0.4013,0.4819,0.3137,0.3289,0.3466,0.2594,0.4275,0.3513,0.5680,0.4529,0.3975,0.4855,0.3275,0.4896,0.5089,0.4421,0.3477,0.3050,0.6217,0.5338,0.3513,0.6090,0.8831,0.5646,0.3193,0.5808,0.5036,0.6175,0.2967,0.4937,0.5016,0.4681,0.7030,0.6900,0.6077,0.4497,0.3703,0.4040,0.7760,0.7351,0.5101,0.4673,0.6104,0.7022,0.6162,0.4399,0.4963,0.3051
0.6979,1.0344,0.6316,0.5642,0.6138,0.4978,0.5481,0.3197,0.3818,0.4448,0.2908,0.4823,0.3714,0.6619,0.5781,0.4583,0.5964,0.4292,0.5340,0.5552,0.5259,0.4800,0.3522,0.7386,0.5884,0.4006,0.6293,0.9068,0.6338,0.3362,0.6690,0.6194,0.7013,0.3275,0.5622,0.6249,0.5178,0.7444,0.7459,0.6647,0.4905,0.4434,0.5187,0.8379,0.7714,0.5613,0.5124,0.6358,0.7672,0.6713,0.5199,0.5646,0.3245
0.8304,1.0344,0.6316,0.6302,0.6683,0.5971,0.6272,0.3370,0.4228,0.5211,0.3280,0.5111,0.3865,0.7274,0.6844,0.5227,0.6795,0.4890,0.5709,0.5804,0.5970,0.6068,0.4010,0.8355,0.6209,0.4239,0.6392,0.9300,0.6726,0.3644,0.7171,0.7005,0.7935,0.3637,0.5925,0.7267,0.5617,0.7829,0.7909,0.7009,0.5430,0.4933,0.6030,0.8969,0.7915,0.6136,0.5496,0.6683,0.8123,0.7112,0.6060,0.6181,0.3565
0.9630,1.0344,0.7368,0.6903,0.7259,0.6796,0.7023,0.3735,0.4690,0.5767,0.3740,0.5247,0.4078,0.7722,0.7621,0.5872,0.7317,0.5183,0.6031,0.6015,0.6553,0.6980,0.4602,0.9035,0.6483,0.4413,0.6569,0.9551,0.6995,0.3999,0.7352,0.7640,0.8777,0.4135,0.6146,0.7819,0.6080,0.8287,0.8346,0.7355,0.6001,0.5458,0.6696,0.9459,0.8092,0.6650,0.5890,0.7219,0.8494,0.7337,0.6818,0.6826,0.4077
1.0956,1.0316,0.7895,0.7469,0.7767,0.7491,0.7637,0.4215,0.5280,0.6226,0.4283,0.5363,0.4312,0.8032,0.8160,0.6444,0.7638,0.5386,0.6394,0.6290,0.7101,0.7559,0.5272,0.9407,0.6862,0.4646,0.6827,0.9758,0.7308,0.4368,0.7463,0.8177,0.9376,0.4711,0.6378,0.8148,0.6603,0.8746,0.8737,0.7702,0.6541,0.6064,0.7287,0.9765,0.8296,0.7159,0.6384,0.7872,0.8748,0.7487,0.7537,0.7532,0.4693
1.2281,1.0316,0.7895,0.7967,0.8131,0.8106,0.8132,0.4695,0.5944,0.6634,0.4878,0.5562,0.4530,0.8234,0.8555,0.6890,0.7858,0.5604,0.6794,0.6634,0.7612,0.7930,0.5965,0.9611,0.7375,0.4983,0.7086,0.9890,0.7701,0.4723,0.7635,0.8630,0.9723,0.5278,0.6629,0.8457,0.7112,0.9104,0.9062,0.8016,0.7023,0.6633,0.7814,0.9915,0.8513,0.7620,0.6948,0.8479,0.8879,0.7641,0.8215,0.8136,0.5334
