x,lambda_t,cdf_empirical,bernstein_1,bernstein_2,bernstein_3,bernstein_4,bernstein_5,bernstein_6,bernstein_7,bernstein_8,bernstein_9,bernstein_10,bernstein_11,bernstein_12,bernstein_13,bernstein_14,bernstein_15,bernstein_16,bernstein_17,bernstein_18,bernstein_19,bernstein_20,bernstein_21,bernstein_22,bernstein_23,bernstein_24,bernstein_25,bernstein_26,bernstein_27,bernstein_28,bernstein_29,bernstein_30,bernstein_31,bernstein_32,bernstein_33,bernstein_34,bernstein_35,bernstein_36,bernstein_37,bernstein_38,bernstein_39,bernstein_40,bernstein_41,bernstein_42,bernstein_43,bernstein_44,bernstein_45,bernstein_46,bernstein_47,bernstein_48,bernstein_49,bernstein_50
0.0082,1.3934,0.1579,0.1579,0.2632,0.1579,0.2105,0.1579,0.1579,0.3684,0.2632,0.1579,0.2105,0.1579,0.3158,0.0526,0.0526,0.1053,0.2105,0.3158,0.1579,0.2105,0.7301,1.0000,0.2632,0.9580,0.3684,0.1579,0.3158,0.2632,0.1053,0.3158,0.9606,0.1579,0.2105,0.9950,0.3158,0.2105,0.2632,0.3158,0.1053,0.3158,0.2105,0.1053,0.0526,0.7460,0.1579,0.1053,0.2105,0.2632,0.0526,0.2105,0.3684
0.1544,1.3934,0.2632,0.2066,0.2676,0.2188,0.2291,0.1598,0.2054,0.3778,0.2784,0.1582,0.2172,0.1860,0.3225,0.1130,0.0667,0.2681,0.2113,0.3180,0.2347,0.2105,0.1063,0.3896,0.2639,0.1763,0.3684,0.1757,0.3252,0.2635,0.1231,0.3578,0.2187,0.1840,0.2584,0.1425,0.3158,0.2592,0.2633,0.3158,0.1214,0.3225,0.2150,0.1334,0.0708,0.1596,0.1816,0.1075,0.2465,0.2725,0.0796,0.3175,0.3836
0.3006,1.3934,0.3684,0.3144,0.3289,0.3586,0.3387,0.2082,0.3005,0.4464,0.3161,0.1848,0.3123,0.3964,0.4163,0.2192,0.1730,0.3203,0.2472,0.4253,0.4170,0.2175,0.1063,0.2461,0.3054,0.2985,0.3778,0.2469,0.3983,0.3004,0.1970,0.4725,0.2528,0.2959,0.3699,0.1550,0.3158,0.3669,0.2755,0.3169,0.1851,0.4216,0.2775,0.3524,0.1783,0.1967,0.2313,0.1511,0.4259,0.3458,0.2103,0.4673,0.4189
0.4468,1.3934,0.4211,0.4081,0.3856,0.4102,0.4498,0.2546,0.4088,0.4737,0.3637,0.2727,0.4095,0.5132,0.5152,0.2825,0.2557,0.3700,0.3071,0.5877,0.5555,0.2774,0.1271,0.3608,0.4340,0.4384,0.4557,0.2785,0.4555,0.3987,0.2516,0.5917,0.3798,0.4840,0.5020,0.2470,0.3172,0.4566,0.3076,0.3326,0.2770,0.5240,0.3447,0.5078,0.2833,0.2795,0.3207,0.2515,0.5641,0.4142,0.2926,0.5756,0.4545
0.5929,1.3934,0.5789,0.5020,0.4427,0.4599,0.5765,0.2667,0.5244,0.4953,0.4341,0.3615,0.4980,0.5839,0.6017,0.3687,0.3393,0.4642,0.3418,0.6435,0.6727,0.3619,0.1842,0.4699,0.5825,0.5064,0.5457,0.3591,0.5180,0.4844,0.3404,0.6984,0.5233,0.6317,0.6196,0.3360,0.3353,0.5550,0.3395,0.3674,0.3967,0.5775,0.4205,0.6091,0.3570,0.3443,0.4391,0.3685,0.6665,0.4885,0.3362,0.6832,0.5151
0.7391,1.3934,0.5789,0.5875,0.4975,0.5256,0.6968,0.2869,0.6168,0.5408,0.5059,0.4343,0.5965,0.6517,0.6579,0.5011,0.4004,0.5659,0.3619,0.6759,0.7420,0.4391,0.2577,0.5401,0.6804,0.5510,0.5891,0.4822,0.5894,0.5595,0.4283,0.7722,0.6323,0.7283,0.6949,0.4201,0.3858,0.6779,0.3802,0.4121,0.4804,0.6306,0.5137,0.6802,0.4566,0.3889,0.5277,0.4804,0.7597,0.5539,0.3916,0.7548,0.5628
0.8853,1.3934,0.6842,0.6731,0.5571,0.6016,0.7689,0.3219,0.6678,0.5901,0.5839,0.4948,0.6743,0.7196,0.6916,0.6326,0.4531,0.6618,0.3758,0.7119,0.7856,0.5130,0.3370,0.6070,0.7473,0.5874,0.6251,0.5943,0.6483,0.6191,0.5219,0.8122,0.7382,0.7947,0.7282,0.5245,0.4409,0.7882,0.4249,0.4682,0.5365,0.7178,0.6042,0.7302,0.5627,0.4404,0.5992,0.5653,0.8405,0.5989,0.4615,0.7857,0.6035
1.0315,1.3884,0.8421,0.7664,0.6279,0.6678,0.8076,0.3563,0.6977,0.6317,0.6587,0.5434,0.7158,0.7763,0.7148,0.7407,0.5127,0.7377,0.4001,0.7472,0.8265,0.5773,0.4072,0.6767,0.7992,0.6291,0.6646,0.6899,0.6904,0.6693,0.6309,0.8318,0.8357,0.8399,0.7448,0.6356,0.4788,0.8600,0.4643,0.5332,0.5894,0.8140,0.6757,0.7648,0.6450,0.5099,0.6631,0.6291,0.8966,0.6263,0.5341,0.8026,0.6551
1.1777,1.3884,0.9474,0.8482,0.6959,0.7104,0.8374,0.3880,0.7298,0.6713,0.7209,0.5873,0.7351,0.8161,0.7310,0.8292,0.5748,0.7894,0.4416,0.7722,0.8669,0.6342,0.4627,0.7409,0.8370,0.6823,0.7026,0.7739,0.7267,0.7193,0.7364,0.8413,0.9053,0.8732,0.7649,0.7290,0.5085,0.9004,0.5043,0.6027,0.6467,0.8876,0.7369,0.7898,0.7070,0.5969,0.7188,0.6892,0.9274,0.6487,0.6093,0.8216,0.7103
1.3239,1.3884,0.9474,0.9023,0.7519,0.7336,0.8658,0.4236,0.7688,0.7132,0.7695,0.6316,0.7476,0.8423,0.7450,0.8987,0.6327,0.8259,0.4956,0.7858,0.9008,0.6876,0.5105,0.7959,0.8646,0.7411,0.7397,0.8399,0.7635,0.7690,0.8244,0.8495,0.9473,0.9018,0.7932,0.7980,0.5412,0.9235,0.5559,0.6704,0.7076,0.9334,0.7935,0.8118,0.7555,0.6915,0.7688,0.7470,0.9413,0.6765,0.6860,0.8446,0.7540
