x,lambda_t,cdf_empirical,bernstein_1,bernstein_2,bernstein_3,bernstein_4,bernstein_5,bernstein_6,bernstein_7,bernstein_8,bernstein_9,bernstein_10,bernstein_11,bernstein_12,bernstein_13,bernstein_14,bernstein_15,bernstein_16,bernstein_17,bernstein_18,bernstein_19,bernstein_20,bernstein_21,bernstein_22,bernstein_23,bernstein_24,bernstein_25,bernstein_26,bernstein_27,bernstein_28,bernstein_29,bernstein_30,bernstein_31,bernstein_32,bernstein_33,bernstein_34,bernstein_35,bernstein_36,bernstein_37,bernstein_38,bernstein_39,bernstein_40,bernstein_41,bernstein_42,bernstein_43,bernstein_44,bernstein_45,bernstein_46,bernstein_47,bernstein_48,bernstein_49,bernstein_50
0.0756,1.2779,0.3333,0.3342,0.1111,0.2222,0.3342,0.1447,0.4216,0.3342,1.0000,0.1114,0.7035,0.3378,0.5869,0.2348,0.1154,0.3563,0.3473,0.5060,0.6611,0.1159,0.2222,0.1575,0.5054,0.3336,0.1171,0.3539,0.4216,0.9074,0.6663,0.4444,0.1154,0.1432,0.4217,0.2349,0.3398,0.2533,0.1538,0.5564,0.2231,0.9989,0.1113,0.3417,0.7037,0.3850,0.4617,0.3488,0.9074,0.2310,0.3335,0.8772,0.2698
0.2577,1.2779,0.4444,0.3983,0.1236,0.2366,0.3983,0.4320,0.2321,0.3842,0.9932,0.1597,0.2699,0.4480,0.4679,0.4262,0.2120,0.3220,0.2607,0.4264,0.1655,0.2718,0.2228,0.3930,0.4294,0.3833,0.2717,0.5350,0.2336,0.4825,0.3037,0.4459,0.2059,0.3961,0.2637,0.4493,0.1779,0.4359,0.2696,0.5989,0.2796,0.8211,0.1346,0.4794,0.3169,0.6217,0.6215,0.4311,0.4834,0.4311,0.3567,0.3228,0.4658
0.4398,1.2779,0.6667,0.5468,0.1973,0.3169,0.5467,0.6661,0.2600,0.4894,0.9019,0.2947,0.2364,0.5991,0.5690,0.5408,0.4052,0.5144,0.3773,0.5178,0.1257,0.5171,0.2372,0.5075,0.5756,0.5131,0.4643,0.6478,0.2582,0.4294,0.4309,0.4694,0.3232,0.6693,0.3645,0.6130,0.3108,0.5687,0.4446,0.6474,0.4012,0.4789,0.1985,0.5950,0.4366,0.7911,0.7441,0.5118,0.4414,0.6822,0.4147,0.2392,0.6507
0.6219,1.2779,0.7778,0.6747,0.3071,0.4338,0.6727,0.7944,0.3565,0.5856,0.7075,0.4398,0.2834,0.7131,0.7136,0.5998,0.5939,0.6666,0.5101,0.5574,0.1708,0.6614,0.2894,0.5929,0.6613,0.6084,0.6205,0.7186,0.3192,0.4764,0.5859,0.5362,0.4162,0.8568,0.4885,0.6861,0.4874,0.6534,0.6261,0.6658,0.5096,0.3907,0.2877,0.6628,0.5813,0.8964,0.8053,0.6231,0.5123,0.8186,0.4697,0.3066,0.7791
0.8040,1.2779,0.7778,0.7523,0.3969,0.5376,0.7433,0.8800,0.4895,0.6390,0.5532,0.5747,0.3809,0.8053,0.8221,0.6722,0.7073,0.7903,0.6486,0.5901,0.2600,0.7378,0.3649,0.6608,0.7129,0.6508,0.7388,0.8013,0.3916,0.5400,0.7376,0.6206,0.4964,0.9488,0.6100,0.7296,0.6581,0.7129,0.7707,0.6791,0.5865,0.4648,0.4098,0.7176,0.6691,0.9582,0.8543,0.7294,0.5980,0.8692,0.5215,0.4232,0.8577
0.9861,1.2779,0.7778,0.8025,0.4571,0.6154,0.7807,0.9389,0.6273,0.6607,0.5055,0.6922,0.5048,0.8770,0.8900,0.7506,0.7603,0.8820,0.7670,0.6397,0.3634,0.7924,0.4336,0.7134,0.7600,0.6699,0.8211,0.8810,0.4621,0.6088,0.8594,0.6935,0.5811,0.9841,0.7212,0.7566,0.7921,0.7687,0.8727,0.7012,0.6461,0.5612,0.5416,0.7697,0.7381,0.9860,0.8988,0.8103,0.6761,0.8842,0.5718,0.5523,0.9060
1.1681,1.2634,0.8889,0.8441,0.5012,0.6749,0.8066,0.9721,0.7491,0.6709,0.5359,0.7825,0.6297,0.9265,0.9329,0.8155,0.7870,0.9396,0.8559,0.7024,0.4587,0.8389,0.4837,0.7555,0.8072,0.6873,0.8790,0.9377,0.5241,0.6769,0.9346,0.7480,0.6717,0.9947,0.8132,0.7711,0.8822,0.8242,0.9356,0.7319,0.7004,0.6426,0.6572,0.8144,0.8070,0.9953,0.9349,0.8652,0.7376,0.8881,0.6196,0.6736,0.9388
1.3502,1.2634,0.8889,0.8806,0.5390,0.7268,0.8280,0.9856,0.8419,0.6805,0.6025,0.8427,0.7378,0.9566,0.9594,0.8600,0.8063,0.9689,0.9147,0.7660,0.5406,0.8778,0.5168,0.7893,0.8513,0.7108,0.9188,0.9688,0.5773,0.7403,0.9702,0.7881,0.7577,0.9950,0.8807,0.7789,0.9348,0.8738,0.9674,0.7669,0.7525,0.7097,0.7470,0.8469,0.8688,0.9960,0.9598,0.9008,0.7827,0.8888,0.6639,0.7754,0.9605
1.5323,1.2634,1.0000,0.9091,0.5739,0.7740,0.8433,0.9852,0.9015,0.6924,0.6769,0.8773,0.8192,0.9706,0.9727,0.8864,0.8227,0.9775,0.9461,0.8200,0.6109,0.9057,0.5372,0.8148,0.8875,0.7392,0.9419,0.9798,0.6240,0.7947,0.9795,0.8181,0.8268,0.9886,0.9226,0.7838,0.9588,0.9106,0.9770,0.8016,0.7994,0.7649,0.8108,0.8665,0.9129,0.9914,0.9728,0.9230,0.8147,0.8874,0.7028,0.8498,0.9706
1.7144,1.2634,1.0000,0.9256,0.6054,0.8129,0.8497,0.9739,0.9304,0.7049,0.7424,0.8921,0.8709,0.9710,0.9743,0.8985,0.8336,0.9706,0.9540,0.8581,0.6699,0.9192,0.5482,0.8302,0.9111,0.7672,0.9480,0.9767,0.6641,0.8357,0.9720,0.8393,0.8714,0.9750,0.9409,0.7866,0.9611,0.9301,0.9705,0.8323,0.8353,0.8065,0.8498,0.8748,0.9348,0.9812,0.9743,0.9336,0.8355,0.8825,0.7341,0.8931,0.9682
