x,lambda_t,cdf_empirical,bernstein_1,bernstein_2,bernstein_3,bernstein_4,bernstein_5,bernstein_6,bernstein_7,bernstein_8,bernstein_9,bernstein_10,bernstein_11,bernstein_12,bernstein_13,bernstein_14,bernstein_15,bernstein_16,bernstein_17,bernstein_18,bernstein_19,bernstein_20,bernstein_21,bernstein_22,bernstein_23,bernstein_24,bernstein_25,bernstein_26,bernstein_27,bernstein_28,bernstein_29,bernstein_30,bernstein_31,bernstein_32,bernstein_33,bernstein_34,bernstein_35,bernstein_36,bernstein_37,bernstein_38,bernstein_39,bernstein_40,bernstein_41,bernstein_42,bernstein_43,bernstein_44,bernstein_45,bernstein_46,bernstein_47,bernstein_48,bernstein_49,bernstein_50
0.0434,0.9921,0.3333,0.3420,0.1118,0.9654,0.1111,0.3531,0.2225,0.2658,0.3333,0.5179,0.1111,0.2222,0.2470,0.2229,0.2223,0.2222,0.4445,0.3333,0.2309,0.1118,0.2236,1.0000,0.5556,0.2427,0.3340,0.2223,0.5180,0.4444,0.1125,0.4445,0.5824,0.2229,0.2222,0.2229,0.3340,0.5556,0.1113,0.2419,0.8624,0.9959,0.1113,0.2279,0.4451,0.4445,0.3333,0.3333,0.3340,0.2229,0.5780,0.5178,0.8429
0.1746,0.9921,0.5556,0.4619,0.1476,0.4968,0.1130,0.4460,0.2718,0.4670,0.3353,0.1793,0.1173,0.2244,0.4338,0.2653,0.2388,0.2284,0.4628,0.3395,0.3486,0.1494,0.2960,0.9963,0.5574,0.3816,0.3749,0.2389,0.1991,0.4465,0.1851,0.4521,0.3256,0.2625,0.2226,0.2681,0.3696,0.5593,0.1465,0.3145,0.3716,0.7843,0.1517,0.3574,0.4827,0.4512,0.3461,0.3457,0.3825,0.2705,0.2620,0.1721,0.3002
0.3057,0.9921,0.5556,0.5587,0.2047,0.2290,0.1305,0.5403,0.4016,0.5596,0.3563,0.2651,0.1478,0.2508,0.6069,0.3574,0.2846,0.2616,0.5228,0.3720,0.4250,0.2206,0.4056,0.9338,0.5748,0.5393,0.4726,0.2855,0.2928,0.4695,0.3002,0.5090,0.3704,0.3537,0.2347,0.3790,0.4245,0.5937,0.2571,0.3603,0.2551,0.5113,0.3099,0.4890,0.5538,0.4926,0.4151,0.4098,0.5052,0.3784,0.2641,0.2398,0.2268
0.4368,0.9921,0.6667,0.6365,0.2654,0.1910,0.1667,0.6279,0.5088,0.6275,0.4087,0.4223,0.1855,0.3288,0.7097,0.4614,0.3309,0.3171,0.5873,0.4233,0.4728,0.2990,0.4846,0.7504,0.6098,0.6548,0.5920,0.3378,0.3860,0.5288,0.4018,0.6285,0.4470,0.4771,0.2930,0.5020,0.4879,0.6591,0.3767,0.4328,0.2653,0.4014,0.5236,0.5603,0.6306,0.5680,0.5136,0.4985,0.6455,0.4793,0.3132,0.3917,0.3068
0.5679,0.9921,0.7778,0.7082,0.3394,0.2292,0.2122,0.7016,0.5870,0.7013,0.4800,0.5695,0.2161,0.4520,0.7600,0.5508,0.3752,0.3906,0.6308,0.4868,0.5418,0.3733,0.5460,0.5207,0.6478,0.7361,0.6899,0.3969,0.4327,0.6072,0.4951,0.7652,0.5334,0.5999,0.4087,0.5922,0.5759,0.7189,0.4639,0.5192,0.3148,0.3979,0.7089,0.6154,0.6964,0.6536,0.5978,0.5772,0.7572,0.5510,0.3802,0.5317,0.4212
0.6991,0.9921,0.7778,0.7667,0.4212,0.2916,0.2697,0.7683,0.6660,0.7729,0.5526,0.6910,0.2502,0.5905,0.7900,0.6133,0.4242,0.4786,0.6543,0.5602,0.6316,0.4407,0.6110,0.3478,0.6825,0.8035,0.7532,0.4645,0.4628,0.6787,0.5780,0.8733,0.6261,0.6959,0.5508,0.6472,0.6729,0.7581,0.5162,0.5953,0.3808,0.4358,0.8372,0.6689,0.7408,0.7303,0.6588,0.6405,0.8267,0.6053,0.4629,0.6297,0.5403
0.8302,0.9921,0.8889,0.8103,0.5023,0.3669,0.3453,0.8300,0.7506,0.8332,0.6173,0.7876,0.3019,0.7170,0.8197,0.6540,0.4805,0.5693,0.6679,0.6327,0.7192,0.5076,0.6874,0.2606,0.7144,0.8628,0.7935,0.5336,0.4993,0.7315,0.6491,0.9398,0.7192,0.7626,0.6830,0.6854,0.7564,0.7831,0.5466,0.6561,0.4556,0.4844,0.9151,0.7156,0.7677,0.7896,0.7030,0.6907,0.8627,0.6520,0.5509,0.6931,0.6506
0.9613,0.9921,0.8889,0.8411,0.5768,0.4489,0.4370,0.8832,0.8293,0.8803,0.6730,0.8612,0.3750,0.8174,0.8537,0.6854,0.5430,0.6514,0.6799,0.6941,0.7880,0.5779,0.7679,0.2377,0.7444,0.9115,0.8227,0.5971,0.5491,0.7681,0.7123,0.9741,0.8034,0.8080,0.7875,0.7212,0.8175,0.8030,0.5690,0.7070,0.5346,0.5309,0.9582,0.7523,0.7864,0.8307,0.7368,0.7299,0.8789,0.6928,0.6312,0.7366,0.7437
1.0924,0.9823,0.8889,0.8616,0.6416,0.5306,0.5344,0.9247,0.8919,0.9156,0.7219,0.9137,0.4628,0.8888,0.8890,0.7163,0.6074,0.7191,0.6944,0.7415,0.8339,0.6489,0.8407,0.2508,0.7735,0.9469,0.8463,0.6509,0.6092,0.7955,0.7706,0.9895,0.8713,0.8399,0.8624,0.7586,0.8589,0.8216,0.5924,0.7525,0.6125,0.5705,0.9802,0.7818,0.8038,0.8570,0.7645,0.7611,0.8856,0.7274,0.6971,0.7706,0.8167
1.2236,0.9823,0.8889,0.8744,0.6958,0.6058,0.6259,0.9535,0.9352,0.9412,0.7657,0.9481,0.5545,0.9349,0.9203,0.7497,0.6683,0.7713,0.7122,0.7776,0.8611,0.7149,0.8975,0.2812,0.8021,0.9694,0.8657,0.6938,0.6725,0.8191,0.8236,0.9952,0.9200,0.8631,0.9126,0.7959,0.8871,0.8387,0.6197,0.7934,0.6833,0.6020,0.9899,0.8079,0.8226,0.8727,0.7888,0.7873,0.8882,0.7562,0.7485,0.8004,0.8707
