x,lambda_t,cdf_empirical,bernstein_1,bernstein_2,bernstein_3,bernstein_4,bernstein_5,bernstein_6,bernstein_7,bernstein_8,bernstein_9,bernstein_10,bernstein_11,bernstein_12,bernstein_13,bernstein_14,bernstein_15,bernstein_16,bernstein_17,bernstein_18,bernstein_19,bernstein_20,bernstein_21,bernstein_22,bernstein_23,bernstein_24,bernstein_25,bernstein_26,bernstein_27,bernstein_28,bernstein_29,bernstein_30,bernstein_31,bernstein_32,bernstein_33,bernstein_34,bernstein_35,bernstein_36,bernstein_37,bernstein_38,bernstein_39,bernstein_40,bernstein_41,bernstein_42,bernstein_43,bernstein_44,bernstein_45,bernstein_46,bernstein_47,bernstein_48,bernstein_49,bernstein_50
0.0493,1.0076,0.2105,0.2110,0.1055,0.1579,0.2105,0.1579,0.1579,0.1581,0.0526,0.4211,0.2105,0.1579,0.2125,0.3684,0.2634,0.5263,0.2105,0.2632,0.2110,0.2105,0.4017,0.1053,0.1589,0.2106,0.3158,0.3684,0.2542,0.2632,0.2632,0.3158,0.2632,0.2632,0.2632,0.0541,0.8651,0.1579,0.4737,0.2633,0.1579,0.1589,0.2632,0.1053,0.2633,0.1579,0.3160,0.0526,0.3684,0.2115,0.1579,0.2105,0.2134
0.1554,1.0076,0.3158,0.2626,0.1310,0.1724,0.2116,0.1949,0.1609,0.2313,0.0596,0.4307,0.2198,0.1945,0.2901,0.3730,0.3260,0.5265,0.2202,0.2662,0.2580,0.2105,0.0638,0.1419,0.2544,0.2420,0.3159,0.3730,0.1649,0.2642,0.2639,0.3168,0.2922,0.2998,0.2723,0.1997,0.2475,0.1773,0.4747,0.3113,0.1787,0.2005,0.3089,0.1064,0.3099,0.1603,0.3780,0.0672,0.3684,0.3067,0.1583,0.2107,0.3134
0.2616,1.0076,0.4211,0.3519,0.1858,0.2523,0.2331,0.3265,0.2058,0.4376,0.1222,0.4825,0.3032,0.3095,0.4287,0.4145,0.4583,0.5396,0.2745,0.3118,0.3095,0.2128,0.0886,0.2619,0.3901,0.3164,0.3224,0.4149,0.2234,0.2792,0.2838,0.3324,0.4467,0.4197,0.3023,0.3884,0.1850,0.2826,0.4963,0.4369,0.3642,0.2754,0.4539,0.1362,0.4036,0.1917,0.4958,0.1444,0.3694,0.4331,0.1691,0.2272,0.4110
0.3677,1.0076,0.4211,0.4058,0.2475,0.3316,0.3047,0.4463,0.2767,0.6205,0.2012,0.5257,0.4085,0.3738,0.5631,0.4655,0.5455,0.6046,0.3339,0.3911,0.3452,0.2368,0.1612,0.3482,0.4988,0.4035,0.3552,0.4656,0.3387,0.3052,0.3320,0.3659,0.5685,0.5019,0.3272,0.4746,0.2467,0.3772,0.5670,0.5765,0.5660,0.3383,0.5429,0.2100,0.4809,0.2777,0.5512,0.2055,0.3842,0.5290,0.2069,0.3093,0.4791
0.4738,1.0076,0.4211,0.4383,0.3038,0.4000,0.4037,0.5463,0.3172,0.7336,0.2713,0.5537,0.5008,0.4130,0.6306,0.5148,0.6069,0.6897,0.3880,0.4600,0.4034,0.2919,0.2436,0.4123,0.5620,0.4986,0.4012,0.4985,0.4493,0.3287,0.3780,0.4138,0.6358,0.5745,0.3525,0.5172,0.3288,0.4396,0.6582,0.6967,0.6600,0.3857,0.6043,0.2869,0.5686,0.4018,0.5847,0.2429,0.4294,0.6076,0.2710,0.4165,0.5288
0.5799,1.0076,0.4737,0.4876,0.3580,0.4621,0.4919,0.6322,0.3419,0.7915,0.3438,0.5777,0.5909,0.4565,0.6702,0.5715,0.6579,0.7583,0.4373,0.5436,0.4697,0.3475,0.3308,0.4655,0.5943,0.5887,0.4498,0.5224,0.5347,0.3569,0.4240,0.4814,0.6916,0.6510,0.3791,0.5521,0.3978,0.4896,0.7222,0.7746,0.7053,0.4297,0.6636,0.3683,0.6551,0.5251,0.6120,0.2896,0.4817,0.6683,0.3456,0.4912,0.5746
0.6861,1.0076,0.6316,0.5514,0.4059,0.5100,0.5646,0.6982,0.3668,0.8225,0.4146,0.5989,0.6691,0.5053,0.7070,0.6185,0.6983,0.8229,0.4841,0.6417,0.5275,0.3946,0.4232,0.5066,0.6306,0.6749,0.5096,0.5474,0.6026,0.3971,0.4771,0.5656,0.7403,0.7042,0.4108,0.5986,0.4562,0.5404,0.7627,0.8152,0.7268,0.4736,0.7213,0.4472,0.7294,0.6296,0.6373,0.3545,0.5160,0.7177,0.4181,0.5483,0.6254
0.7922,1.0076,0.6316,0.6092,0.4508,0.5449,0.6207,0.7418,0.4005,0.8427,0.4859,0.6173,0.7379,0.5560,0.7389,0.6509,0.7242,0.8808,0.5300,0.7205,0.5710,0.4443,0.5098,0.5410,0.6811,0.7531,0.5699,0.5805,0.6646,0.4518,0.5380,0.6548,0.7805,0.7305,0.4500,0.6585,0.5183,0.5971,0.7974,0.8330,0.7350,0.5197,0.7738,0.5141,0.7835,0.7112,0.6645,0.4248,0.5386,0.7628,0.4880,0.6084,0.6813
0.8983,1.0076,0.6842,0.6549,0.5003,0.5748,0.6587,0.7671,0.4487,0.8609,0.5553,0.6336,0.8008,0.6063,0.7633,0.6751,0.7405,0.9198,0.5784,0.7652,0.6014,0.4997,0.5830,0.5770,0.7370,0.8155,0.6165,0.6201,0.7263,0.5155,0.6018,0.7354,0.8137,0.7458,0.4943,0.7221,0.5869,0.6548,0.8302,0.8395,0.7390,0.5695,0.8167,0.5735,0.8161,0.7692,0.6925,0.4879,0.5624,0.8047,0.5528,0.6690,0.7370
1.0045,1.0233,0.6842,0.6939,0.5565,0.6075,0.6852,0.7803,0.5079,0.8811,0.6146,0.6509,0.8540,0.6518,0.7826,0.6967,0.7549,0.9411,0.6339,0.7864,0.6230,0.5590,0.6446,0.6143,0.7863,0.8592,0.6498,0.6618,0.7869,0.5796,0.6600,0.8002,0.8432,0.7637,0.5397,0.7798,0.6565,0.7090,0.8577,0.8418,0.7444,0.6213,0.8482,0.6319,0.8323,0.8075,0.7168,0.5438,0.5902,0.8396,0.6097,0.7193,0.7868
