x,lambda_t,cdf_empirical,bernstein_1,bernstein_2,bernstein_3,bernstein_4,bernstein_5,bernstein_6,bernstein_7,bernstein_8,bernstein_9,bernstein_10,bernstein_11,bernstein_12,bernstein_13,bernstein_14,bernstein_15,bernstein_16,bernstein_17,bernstein_18,bernstein_19,bernstein_20,bernstein_21,bernstein_22,bernstein_23,bernstein_24,bernstein_25,bernstein_26,bernstein_27,bernstein_28,bernstein_29,bernstein_30,bernstein_31,bernstein_32,bernstein_33,bernstein_34,bernstein_35,bernstein_36,bernstein_37,bernstein_38,bernstein_39,bernstein_40,bernstein_41,bernstein_42,bernstein_43,bernstein_44,bernstein_45,bernstein_46,bernstein_47,bernstein_48,bernstein_49,bernstein_50
0.0072,0.8759,0.1616,0.1616,0.2525,0.2222,0.4444,0.2121,0.2727,0.2121,0.1616,0.2525,0.2121,0.2727,0.2727,0.3131,0.3131,0.2323,0.2424,0.2424,0.2626,0.2121,0.2424,0.2222,0.2929,0.1313,0.2020,0.2222,0.1717,0.2323,0.2929,0.3232,0.2626,0.2424,0.2424,0.3030,0.2929,0.2222,0.2727,0.2525,0.4444,0.2121,0.3030,0.2929,0.3232,0.2626,0.3232,0.2020,0.1717,0.2828,0.2020,0.2929,0.1212
0.2916,0.8759,0.3838,0.2684,0.4643,0.3334,0.4444,0.3934,0.2727,0.2121,0.2889,0.2526,0.4022,0.4095,0.2727,0.4479,0.5043,0.3952,0.2560,0.3942,0.2626,0.3088,0.4318,0.3997,0.4544,0.2549,0.3150,0.4204,0.2941,0.4543,0.2929,0.3232,0.5252,0.2633,0.3675,0.4618,0.2944,0.4176,0.3446,0.2525,0.4444,0.3317,0.3030,0.4072,0.3651,0.3793,0.3232,0.4317,0.3347,0.3471,0.3965,0.2933,0.1962
0.5760,0.8759,0.4949,0.4382,0.5840,0.5471,0.7014,0.4989,0.4241,0.4141,0.5092,0.4849,0.6028,0.5375,0.5151,0.6054,0.6602,0.5863,0.4184,0.6030,0.4109,0.4277,0.5756,0.5769,0.6474,0.3922,0.5425,0.5821,0.4402,0.6063,0.5453,0.4492,0.6550,0.4335,0.4940,0.5956,0.4951,0.6631,0.4988,0.4033,0.4444,0.4582,0.4646,0.6110,0.4798,0.5038,0.3232,0.6566,0.5078,0.4898,0.5152,0.4546,0.4694
0.8604,0.8759,0.6162,0.5569,0.6770,0.6850,0.7085,0.6465,0.4451,0.5325,0.6587,0.6341,0.6871,0.7483,0.6139,0.6737,0.8021,0.6766,0.5574,0.7359,0.4648,0.5027,0.6945,0.7217,0.7723,0.4761,0.6862,0.6776,0.5208,0.7716,0.5621,0.4950,0.7583,0.5697,0.6009,0.6980,0.6060,0.7955,0.6113,0.4136,0.5863,0.6129,0.5775,0.7176,0.5745,0.5974,0.6173,0.7761,0.6576,0.6125,0.6446,0.5946,0.6019
1.1449,0.8854,0.6768,0.6456,0.7648,0.7799,0.8473,0.7258,0.5556,0.5920,0.7491,0.7154,0.7437,0.8172,0.6553,0.7600,0.9114,0.7687,0.6674,0.8296,0.6001,0.5765,0.8077,0.7659,0.8941,0.5577,0.8223,0.7834,0.6140,0.8592,0.5969,0.5701,0.8258,0.6685,0.7436,0.7352,0.7256,0.8877,0.7116,0.5656,0.6263,0.7612,0.6522,0.8041,0.6629,0.6789,0.6263,0.9182,0.7777,0.7140,0.7216,0.6575,0.7013
1.4293,0.8854,0.7677,0.7215,0.8338,0.8174,0.8594,0.7780,0.6253,0.6667,0.8181,0.7622,0.8009,0.8619,0.7284,0.8263,0.9320,0.8670,0.7628,0.8500,0.6181,0.6603,0.8901,0.8586,0.9172,0.6531,0.9080,0.8328,0.6995,0.9024,0.6898,0.5963,0.8819,0.7293,0.8327,0.7941,0.7499,0.8997,0.8040,0.6412,0.6270,0.8190,0.7368,0.8594,0.7384,0.7578,0.6390,0.9444,0.8843,0.7864,0.7719,0.7096,0.8150
1.7137,0.8854,0.8485,0.8071,0.8752,0.8608,0.8990,0.8651,0.6608,0.7427,0.8794,0.7942,0.8662,0.9070,0.8467,0.8936,0.9573,0.9158,0.8263,0.8942,0.6957,0.7239,0.9343,0.9215,0.9300,0.7549,0.9466,0.8646,0.7738,0.9276,0.7247,0.6340,0.9051,0.8114,0.8837,0.8385,0.7856,0.9253,0.8651,0.7094,0.6899,0.8684,0.7951,0.9007,0.8025,0.8238,0.7059,0.9644,0.9300,0.8203,0.8205,0.7832,0.8457
1.9981,0.8854,0.8788,0.8630,0.9217,0.8803,0.9372,0.8998,0.7339,0.7910,0.9259,0.8312,0.9136,0.9418,0.8921,0.9319,0.9826,0.9242,0.8716,0.9212,0.7511,0.7940,0.9611,0.9560,0.9469,0.8231,0.9721,0.8789,0.8497,0.9386,0.7711,0.6523,0.9203,0.8356,0.9282,0.8867,0.8475,0.9582,0.9151,0.7566,0.7071,0.9056,0.8381,0.9339,0.8718,0.8715,0.7088,0.9896,0.9653,0.8622,0.8735,0.8435,0.9046
2.2826,0.8854,0.8788,0.8795,0.9459,0.8949,0.9710,0.9292,0.7645,0.8399,0.9493,0.8782,0.9421,0.9543,0.9191,0.9675,0.9898,0.9523,0.9105,0.9623,0.8110,0.8323,0.9818,0.9712,0.9738,0.8907,0.9887,0.9142,0.8866,0.9449,0.8090,0.7391,0.9382,0.8547,0.9445,0.9301,0.8875,0.9767,0.9526,0.7802,0.7195,0.9425,0.8896,0.9507,0.8968,0.8892,0.7611,0.9998,0.9763,0.9029,0.9144,0.8885,0.9428
2.5670,0.8854,0.9091,0.8969,0.9651,0.9302,0.9844,0.9468,0.7919,0.8632,0.9629,0.9074,0.9548,0.9656,0.9283,0.9697,0.9905,0.9709,0.9328,0.9830,0.8486,0.8698,0.9894,0.9883,0.9818,0.9250,0.9911,0.9358,0.9108,0.9529,0.8424,0.7808,0.9656,0.8847,0.9615,0.9485,0.9073,0.9921,0.9796,0.8154,0.7856,0.9583,0.9194,0.9691,0.9077,0.9082,0.8064,1.0000,0.9797,0.9215,0.9371,0.9181,0.9677
